Earthquake catalog from the bulletin of National Seismological Center, Department of Mines and Geology, Kathmandu, Nepal.

(Date in AD and time in UTC)

     Date        Time      Latitude     Longitude    Magnitude    Epicenter
2018-05-05      15:04      27.74        88.13         4.4          Taplejung
2018-03-02      05:06      27.70        86.33         4.6          Dolakha
2018-02-26      19:00      27.7        86.33         4.7          Dolakha
2018-02-21      15:59      28.07        85.96         4.3          Tibet	
2018-01-19      02:53      27.72        86.01         4.3          Dolakha
2017-12-28      07:45      29.82        80.76         4.5          Darchula
2017-12-18      11:33      27.96        85.68         4.2          Sindhupalchowk
2017-12-08      02:51      27.63        86.19         5.2          Dolakha
2017-11-06      03:09      29.78        81.28         4.5          Bajhang
2017-10-26      12:51      29.08        81.45         4          Achham
2017-10-15      11:17      28.5        83.32         4.2          Myagdi
2017-10-02      01:22      28.83        82.55         4.1          Rukum
2017-09-21      07:19      27.62        86.25         4.6          Dolakha
2017-08-24      10:40      28.06        85.94         4.8          Sindhupalchok-Tibet border
2017-08-22      12:50      29.41        81.1         4.9          Bajhang
2017-08-21      12:03      27.66        86.27         4.6          Dolakha
2017-07-24      04:44      27.56        85.96         4          Dolakha
2017-07-15      04:35      28.94        81.75         4          Dailekh
2017-07-02      01:58      27.34        86.49         5.1          Okhaldhunga
2017-06-28      18:24      27.66        86.41         4.2          Ramechhap
2017-06-14      03:42      27.88        88.13         4.1          Taplejung-Tibet Border
2017-06-12      11:54      27.62        86.1         4.1          Dolakha
2017-05-30      05:38      29.64        80.97         4.1          Bajhang
2017-04-24      11:19      27.86        85.77         4.2          Sindhupalchowk
2017-04-24      03:04      29.75        81.31         4.1          Bajhang
2017-03-10      01:43      30.37        81.57         4.1          Humla
2017-02-27      04:21      27.38        86.13         4.7          Ramechhap
2017-02-27      03:37      27.36        86.12         4.6          Ramechhap
2017-02-18      00:15      27.79        84.8         4          Dhading
2017-02-10      11:13      29.88        80.61         4.1          Darchula
2017-02-04      12:13      27.73        86.08         4.4          Dolakha
2017-01-03      06:41      29.71        81.57         4          Bajura
2016-11-28      23:35      27.79        86.58         5.6          Ramechap/Solukhumbu
2016-11-06      04:02      29.69        81.05         4          Bajhang
2016-10-17      04:18      27.87        85.3         4          Nuwakot
2016-10-15      12:37      28.04        85.17         4.1          Rasuwa
2016-10-12      08:29      27.66        85.95         4.1          Dolakha
2016-10-11      07:08      27.67        85.95         4.6          Dolakha
2016-10-07      04:52      27.65        86.13         4.2          Dolakha
2016-09-18      17:12      27.91        85.77         4.6          Sindhupalchowk
2016-09-05      02:04      27.78        86.35         4.5          Dolakha
2016-09-05      00:37      27.82        86.14         4.1          Dolakha
2016-08-27      12:03      29.81        81.56         4          Bajura
2016-07-23      06:14      27.99        84.71         4.1          Gorkha
2016-07-08      22:23      27.84        86.16         4.1          Dolakha
2016-07-07      11:53      27.92        85.66         4.4          Sindhupalchowk
2016-07-07      08:59      28.31        84.35         4.3          Lamjung
2016-07-02      12:23      29.64        81.28         4.4          Bajhang
2016-06-29      09:26      29.63        81.24         4.2          Bajhang
2016-06-29      09:10      29.63        81.28         5          Bajhang
2016-06-22      13:00      27.76        86.34         4.1          Dolakha
2016-06-21      05:49      27.93        85.21         4.4          Nuwakot
2016-06-14      23:27      28.03        84.64         4.3          Gorkha
2016-06-03      23:25      27.96        85.62         4.4          Sindhupalchowk
2016-05-28      09:39      27.94        85.5         4.6          Sindhupalchok
2016-05-24      19:09      27.73        85.16         4.2          Dhading
2016-05-15      22:45      27.93        85.5         4.4          Sindhupalchowk
2016-05-14      23:20      27.97        85.55         4.3          Sindhupalchowk
2016-05-13      19:24      27.69        86.24         4.1          Dolakha
2016-05-11      08:52      28.01        84.68         4.5          Gorkha
2016-05-11      01:19      28.01        84.94         4.4          Dhading
2016-05-05      04:46      28.24        84.99         4.1          Gorkha/Dhading
2016-05-04      05:32      29.38        81.88         4          Kalikot
2016-04-30      06:43      29.54        81.1         4.2          Bajhang
2016-04-26      09:33      28.05        85.38         4.3          Rasuwa
2016-04-24      20:31      28.08        85.13         4.2          Nuwakot
2016-04-22      11:04      27.79        85.85         4          Sindhupalchowk
2016-04-22      06:56      27.72        86.29         4          Dolakha
2016-04-12      14:41      27.56        86.17         4.4          Dolakha
2016-04-09      13:20      27.65        85.31         4.5          Lalitpur
2016-04-04      04:31      27.72        86.09         4.7          Dolakha
2016-04-04      03:55      29.81        81.51         4.3          Bajhang
2016-03-31      22:41      27.93        85.59         4          Sindhupalchowk
2016-03-30      12:26      27.89        85.73         4.7          Sindhupalchowk
2016-03-24      23:41      27.75        88.04         4.1          Taplejung
2016-03-17      05:14      27.34        86.27         4          Okhaldhunga
2016-03-15      21:27      27.84        85.73         4.5          Sindhupalchowk
2016-03-13      05:15      27.83        84.9         4.8          Dhading
2016-03-11      09:28      27.9        85.87         4.2          Sindhupalchowk
2016-03-07      08:05      30.22        81.7         4.4          Humla
2016-03-06      01:25      27.69        85.93         4          Sindhupalchowk
2016-03-01      10:45      27.79        85.73         4.3          Sindhupalchowk
2016-02-24      09:22      27.8        85.74         5.4          Sindhupalchok
2016-02-23      03:00      27.47        87.15         4.5          Sankhuwasava
2016-02-21      18:09      28.08        84.76         5.5          Gorkha
2016-02-20      22:09      27.86        85.29         4.1          Nuwakot
2016-02-13      14:37      27.81        85.72         4.3          Sindhupalchowk
2016-02-10      16:27      27.84        85.71         4.6          Sindhupalchowk
2016-02-05      16:20      27.95        85.52         5.5          Sindhupalchowk
2016-01-27      14:57      26.68        86.27         4.2          Siraha
2016-01-27      08:42      27.83        85.83         4.4          Sindhupalchowk
2016-01-22      19:22      28.06        85.09         4.6          Nuwakot
2016-01-15      17:14      27.65        86.23         4.3          Dolakha
2016-01-15      13:05      27.63        86.25         4.1          Dolakha
2016-01-09      17:43      27.48        86.01         4.4          Ramechhap
2016-01-04      13:02      27.75        86.12         4.1          Dolakha
2016-01-02      21:30      28.01        85.8         4.2          Sindhupalchowk
2015-12-31      01:56      27.86        85.72         4.3          Sindhupalchowk
2015-12-28      22:07      27.7        86.12         4.2          Dolakha
2015-12-26      04:48      29.35        81.29         4.1          Bajura
2015-12-23      03:14      27.79        86.08         4.1          Dolakha
2015-12-18      10:16      29.44        81.69         5.5          Bajura
2015-12-13      03:00      28.04        85.02         4.1          Dhading
2015-12-07      01:42      27.86        86.19         4          Dolakha
