Earthquake catalog from the bulletin of National Seismological Center, Department of Mines and Geology, Kathmandu, Nepal.

(Date in AD and time in UTC)

     Date        Time      Latitude     Longitude    Magnitude    Epicenter
2015-05-12      05:06      27.72        86.2         4.6          Dolakha
2015-05-12      04:51      27.62        86.16         4.7          Dolakha
2015-05-12      04:26      27.76        86.24         4.4          Dolakha
2015-05-12      04:20      27.73        86.11         5          Dolakha
2015-05-12      04:16      27.69        86.05         4.2          Dolakha
2015-05-12      04:00      27.57        86.29         4.8          Ramechhap
2015-05-12      03:49      27.68        86.03         4.4          Dolakha
2015-05-12      03:29      27.8        85.95         4.2          Sindhupalchok
2015-05-12      02:44      27.76        86.31         5.3          Dolakha
2015-05-12      02:08      28.16        84.9         4.1          Gorkha
2015-05-12      01:58      27.8        85.83         5.3          Sindhupalchok
2015-05-12      01:51      27.8        85.94         5.1          Sindhupalchok
2015-05-12      01:46      27.68        86.04         4.3          Dolakha
2015-05-12      01:33      27.63        86.17         4.8          Dolakha
2015-05-12      01:28      27.69        86.24         5          Dolakha
2015-05-12      01:02      27.84        86.17         5.8          Dolakha
2015-05-11      11:54      27.91        85.75         4          Sindhupalchowk
2015-05-11      08:35      27.99        85.86         4.2          Sindhupalchowk
2015-05-10      11:08      28.02        85.25         4          Rasuwa
2015-05-10      06:34      27.88        86         4.4          Sindhupalchowk
2015-05-10      03:23      27.65        85.56         4.2          kavre
2015-05-10      02:44      26.94        86.67         4          Udayapur
2015-05-10      01:50      28.04        85.96         4.2          Tibet
2015-05-09      03:08      28.04        85.2         4.1          Rasuwa
2015-05-08      08:19      27.75        85.91         4.2          Sindhupalchowk
2015-05-08      06:17      27.69        86.04         5          Dolakha
2015-05-08      03:05      28.01        85.41         4.2          Nuwakot
2015-05-08      02:19      27.94        85.58         4          Sindhupalchowk
2015-05-08      01:32      27.77        85.88         4.8          Sindhupalchowk
2015-05-07      10:15      27.92        85.46         4          Nuwakot
2015-05-07      07:56      27.79        85.16         4          Nuwakot
2015-05-07      03:41      27.75        85.19         4.2          Nuwakot
2015-05-06      10:19      28.04        85.26         4          Rasuwa
2015-05-06      06:02      28.01        84.68         4.2          Gorkha
2015-05-05      06:39      28.06        85.05         4          Dhading
2015-05-05      05:00      27.96        86         4.2          Sindhupalchowk
2015-05-05      04:23      27.74        86.03         4.3          Dolakha
2015-05-04      10:36      27.8        85.16         4.1          Nuwakot
2015-05-04      10:33      27.79        85.16         4          Nuwakot
2015-05-04      09:54      27.97        85.21         4.2          Nuwakot
2015-05-04      07:00      27.69        85.99         4.3          Dolakha
2015-05-04      06:02      27.74        86         4.2          Dolakha
2015-05-04      04:59      27.75        85.87         4.2          Sindhupalchowk
2015-05-04      03:40      27.95        85.86         4.4          Sindhupalchowk
2015-05-04      02:34      27.79        86.23         4.7          Dolakha
2015-05-04      01:17      28.12        84.8         4          Gorkha
2015-05-03      3:29 AM      27.69        85.93         4.5          Sindhupalchowk
2015-05-03      10:46      27.94        84.83         4.5          Dhading
2015-05-03      10:39 PM      28.05        84.94         4          Dhading
2015-05-03      08:27      28.09        85.72         4.2          Sindhupalchowk
2015-05-03      08:00      27.98        84.87         4.1          Dhading
2015-05-03      06:58      27.89        85.73         4          Sindhupalchowk
2015-05-03      05:47      28.08        85.04         4          Gorkha
2015-05-03      05:20      27.8        85.11         4.9          Nuwakot
2015-05-02      11:20      28.24        84.76         5.1          Gorkha
2015-05-02      11:13      27.72        85.74         4          Sindhupalchowk
2015-05-02      09:32      27.93        85.5         4.2          Sindhupalchowk
2015-05-02      09:01      27.66        86.01         4.1          Dolakha
2015-05-02      05:55      27.74        86.28         4.3          Dolakha
2015-05-02      03:55      27.95        85.73         4.2          Sindhupalchowk
2015-05-01      12:58      27.7        85.98         4.2          Dolakha
2015-05-01      11:59      28.04        85.32         4          Rasuwa
2015-05-01      11:28      28.04        85.33         4.5          Rasuwa
2015-05-01      10:35      27.75        85.95         4          Sindhupalchowk
2015-05-01      08:27      27.88        85.87         4.2          Sindhupalchowk
2015-05-01      05:37      27.74        85.99         4          Dolakha
2015-05-01      02:56      27.68        85.3         4          Kathmandu
2015-04-30      11:19      27.92        85.87         4.3          Sindhupalchowk
2015-04-30      08:31      28.05        85.34         4.7          Rasuwa
2015-04-30      06:22      27.93        84.83         4.7          Dhading
2015-04-30      01:29      27.65        86.09         4.1          Dolakha
2015-04-29      11:01      28.19        84.8         4.4          Gorkha
2015-04-29      05:54      27.79        85.14         4.2          Nuwakot
2015-04-29      05:12      27.95        85.52         4.5          Sindhupalchowk
2015-04-29      04:49      27.93        85.63         4          Sindhupalchowk
2015-04-29      03:24      27.86        84.89         4.5          Dhading
2015-04-29      01:17      28.04        85.37         4          Nuwakot
2015-04-28      12:44      28.29        84.93         4.8          Gorkha
2015-04-28      12:08      27.96        85.55         4          Sindhupalchowk
2015-04-28      10:07      28.2        84.78         4          Gorkha
2015-04-28      08:40      27.76        85.8         4          Sindhupalchowk
2015-04-28      07:45      27.81        86.09         4.2          Dolakha
2015-04-28      05:05      28.1        85.49         4.9          Sindhupalchok
2015-04-28      05:03      27.88        85.88         4.2          Sindhupalchowk
2015-04-28      04:44      27.78        85.17         4          Nuwakot
2015-04-28      04:11      28.1        84.65         4.2          Gorkha
2015-04-28      03:12      27.89        85.76         4.2          Sindhupalchowk
2015-04-28      03:10      27.83        85.83         4          Sindhupalchowk
2015-04-28      02:59      27.92        85.51         4.2          Sindhupalchowk
2015-04-27      3:37 AM      27.75        85.2         4.1          Kathmandu
2015-04-27      12:39 AM      28.26        85.1         4.5          Rasuwa
2015-04-27      11:30      28.19        85.03         4          Dhading
2015-04-27      10:39      27.82        85.89         4.2          Sindhupalchowk
2015-04-27      10:05      27.93        85.86         4          Sindhupalchowk
2015-04-27      09:59      28.24        85.23         4.3          Rasuwa
2015-04-27      09:36      27.67        85.29         4.5          Kathmandu
2015-04-27      08:18      27.67        85.55         4.2          Kavrepalanchowk
2015-04-27      06:24      27.77        85.12         4.7          Nuwakot
2015-04-27      04:27      27.82        85.76         4.4          Sindhupalchowk
2015-04-27      04:17      27.57        85.74         4.5          Kavrepalanchowk
2015-04-27      04:15      27.56        85.73         4.2          Kavrepalanchowk
2015-04-27      03:17      27.8        85.12         4          Nuwakot
2015-04-26      15:27      27.77        85.91         4.5          Sindhupalchowk
2015-04-26      14:31      27.97        85.81         4.5          Sindhupalchowk
2015-04-26      12:43      27.71        85.43         4.6          Kathmandu
2015-04-26      12:14      27.94        85.55         4.1          Sindhupalchowk
2015-04-26      11:51      27.91        85.55         4.2          Sindhupalchowk
2015-04-26      10:43      28.26        85.02         4.8          Gorkha
2015-04-26      10:42      27.83        86.06         4          Dolakha
2015-04-26      10:35      28.04        85.5         4.5          Sindhupalchowk
2015-04-26      10:10      27.95        85.87         5.3          Sindhupalchowk
2015-04-26      10:08      27.67        85.3         4          Kathmandu
2015-04-26      09:47      27.65        85.97         4          Dolakha
2015-04-26      09:06      27.64        85.63         5          Kavre
2015-04-26      08:55      27.8        85.16         5.1          Nuwakot
2015-04-26      08:43      28.32        84.73         4.5          Gorkha
2015-04-26      08:42      28.31        84.97         4.5          Gorkha
2015-04-26      08:29      27.72        85.97         4.5          Sindhupalchowk
2015-04-26      08:17      27.79        85.15         4          Nuwakot
2015-04-26      07:09      27.84        86.05         6.9          Dolakha
2015-04-26      07:08      27.68        85.95         4          Dolakha
2015-04-26      06:56      27.89        85.6         5          Sindhupalchowk
2015-04-26      06:16      27.84        85.12         4          Nuwakot
2015-04-26      06:00      27.67        85.28         4          Kathmandu
2015-04-26      05:32      28.05        85.34         4          Rasuwa
2015-04-26      05:26      27.67        86.07         4.5          Dolakha
2015-04-26      05:25      27.69        85.25         4          Kathmandu
2015-04-26      05:01      27.99        85.02         5.5          Nuwakot
2015-04-26      02:52      27.82        85.8         4.8          Sindhupalchowk
2015-04-26      02:49      27.98        84.99         4          Gorkha
2015-04-26      02:25      27.79        86         4.8          Sindhupalchowk
2015-04-26      02:17      27.6        85.96         4.8          Sindhupalchowk
2015-04-26      02:14      28.24        84.82         4.3          Gorkha
2015-04-26      02:08      28.25        85.83         4          Rasuwa
2015-04-26      01:56      27.93        85.56         4.4          Sindhupalchowk
2015-04-26      01:52      28.14        84.71         4.2          Gorkha
2015-04-26      01:49      28.05        85.35         4          Rasuwa
2015-04-26      01:29      27.93        85.56         4.1          Sindhupalchowk
2015-04-26      01:22      27.94        86.05         5          Tibet
2015-04-26      01:12      27.75        85.94         5.3          Sindhupalchowk
2015-04-25      4:08 PM      27.87        85.8         4.1          Sindhupalchowk
2015-04-25      3:28 PM      28.29        85.16         4.6          Rasuwa
2015-04-25      23:46      27.78        85.98         4.1          Sindhupalchowk
2015-04-25      23:40      28.1        85.27         4          Rasuwa
2015-04-25      23:27      28.34        85.91         5.6          Tibet
2015-04-25      23:25      27.78        85.17         4          Nuwakot
2015-04-25      23:24      27.9        85.53         4          Sindhupalchowk
2015-04-25      23:19      27.77        85.83         4.1          Sindhupalchowk
2015-04-25      22:31      27.8        85.29         4          Nuwakot
2015-04-25      22:12      27.92        85.64         5.3          Sindhupalchowk
2015-04-25      21:02      27.95        85.56         4.2          Sindhupalchowk
2015-04-25      20:36      28.14        85.16         4.4          Rasuwa
2015-04-25      20:25      27.73        85.9         5          Sindhupalchowk
2015-04-25      20:08      28.05        85.25         4.1          Rasuwa
2015-04-25      19:55      27.73        85.9         4.7          Sindhupalchowk
2015-04-25      19:47      27.68        85.32         4.1          Kathmandu
2015-04-25      13:53      27.79        85.16         4.1          Nuwakot
2015-04-25      13:30      28.1        85.2         4.7          Rasuwa
2015-04-25      12:44      28.16        84.71         5.5          Gorkha
2015-04-25      12:39      27.82        86.05         4.5          Dolakha
2015-04-25      12:17      28        85.4         4.9          Nuwakot
2015-04-25      11:41      28.14        85.28         4.1          Rasuwa
2015-04-25      11:05      27.91        85.5         4.6          Sindhupalchowk
2015-04-25      10:40      27.86        85.85         4          Sindhupalchowk
2015-04-25      10:23      27.87        85.8	         4.1          Sindhupalchowk
2015-04-25      09:43      28.29        85.16         4.6          Rasuwa
2015-04-25      09:30      28        85.6         5.5          Sindhupalchowk
2015-04-25      09:03      27.91        85.33         5.3          Nuwakot
2015-04-25      08:55      27.65        85.63         5.7          Kabre
2015-04-25      08:29      28.18        84.95         5.2          Gorkha
2015-04-25      08:21      27.6        86.09         4.5          Dolakha
2015-04-25      08:20      27.9        84.86         5.1          Dhading
2015-04-25      08:17      27.78        85.84         5.2          Sindhupalchowk
2015-04-25      07:47      27.99        85.71         5.1          Tibet
2015-04-25      07:21      27.69        86.02         4.9          Dolakha
2015-04-25      07:08      28.2        85.75         5.3          Rasuwa
2015-04-25      06:56      28.13        85.65         5.7          Rasuwa
2015-04-25      06:45      28.28        84.72         6.6          Gorkha
2015-04-25      06:38      28.41        85.80         5.5          Tibet
2015-04-25      06:11      28.24        84.75         7.6          Gorkha
2015-04-23      01:57      28.4        83.99         4.1          Kaski
2015-04-22      07:14      28.8        81.92         4.5          Jajarkot
2015-04-21      19:52      28.85        82.18         5.1          Jajarkot
2015-02-14      22:51      27.42        87.01         4.5          Bhojpur
2015-01-31      19:44      28.29        83.73         5.5          Kaski
2015-01-22      09:27      29.36        81.03         4.4          Doti
2015-01-06      01:26      29.07        81.51         4.5          Dailekh
2014-12-18      15:32      27.73        86.52         5.9          Solukhumbu
2014-11-25      15:49      28.25        84.94         4.5          Gorkha
2014-09-17      10:29      27.76        88.05         4.5          Taplejung
2014-08-03      17:57      29.45        85.64         5.9          Tibet
2014-07-07      16:37      29.73        80.93         4.2          Bajhang-Darchula border
2014-07-04      05:58      27.83        87.91         4.6          Taplejung
2014-05-25      02:46      28.23        84.09         4.1          Kaski
2014-05-20      18:36      28.32        84.73         4.3          Gorkha
2014-04-23      07:14      27.3        87.62         4          Taplejung
2014-04-11      17:22      29.29        81.26         4.2          Achham
2014-03-31      07:51      30.11        81.93         4.4          Humla
2013-11-03      06:47      29.56        81.68         4.3          Bajura
2013-10-28      01:37      27.36        87.37         4.3          Sankhuwasava
2013-10-13      21:43      30.08        81.74         4.5          Humla
2013-10-03      06:12      27.14        88.51         5.7          Sikkim
2013-09-22      14:35      30.25        81.55         4.4          Humla
2013-09-12      04:29      26.96        87.34         4.5          Dhankuta
2013-08-30      17:48      28.43        86.03         6          Tibet
2013-06-28      11:40      28.76        82.4         5.5          Rukum
2013-06-27      06:20      30.05        80.8         4.4          Darchula
2013-06-26      22:22      26.85        85.96         4.4          Dhanusha
